Week_Start,Bull_Bear,High_Day,Low_Day
2021-10-12,Bullish,Monday,Wednesday
2021-10-19,Bullish,Monday,Tuesday
2021-10-26,Bullish,Monday,Wednesday
2021-11-02,Bullish,Friday,Tuesday
2021-11-09,Bearish,Tuesday,Wednesday
2021-11-16,Bullish,Monday,Thursday
2021-11-23,Bearish,Wednesday,Friday
2021-11-30,Bearish,Wednesday,Friday
2021-12-07,Bullish,Friday,Tuesday
2021-12-14,Bearish,Thursday,Monday
2021-12-21,Bullish,Monday,Tuesday
2021-12-28,Bullish,Thursday,Monday
2022-01-04,Bearish,Tuesday,Monday
2022-01-11,Bearish,Wednesday,Friday
2022-01-18,Bearish,Tuesday,Monday
2022-01-25,Bullish,Monday,Tuesday
2022-02-01,Bearish,Wednesday,Friday
2022-02-08,Bearish,Wednesday,Monday
2022-02-15,Bearish,Wednesday,Friday
2022-02-22,Bullish,Monday,Thursday
2022-03-01,Bearish,Thursday,Monday
2022-03-08,Bearish,Wednesday,Tuesday
2022-03-15,Bullish,Monday,Tuesday
2022-03-22,Bullish,Monday,Wednesday
2022-03-29,Bearish,Tuesday,Friday
2022-04-05,Bearish,Tuesday,Monday
2022-04-12,Bearish,Tuesday,Monday
2022-04-19,Bearish,Thursday,Monday
2022-04-26,Bearish,Thursday,Monday
2022-05-03,Bearish,Wednesday,Monday
2022-05-10,Bearish,Tuesday,Thursday
2022-05-17,Bearish,Tuesday,Friday
2022-05-24,Bullish,Friday,Tuesday
2022-05-31,Bearish,Thursday,Wednesday
2022-06-07,Bearish,Tuesday,Monday
2022-06-14,Bearish,Wednesday,Friday
2022-06-21,Bullish,Monday,Tuesday
2022-06-28,Bearish,Tuesday,Thursday
2022-07-05,Bullish,Friday,Tuesday
2022-07-12,Bearish,Monday,Thursday
2022-07-19,Bullish,Friday,Tuesday
2022-07-26,Bullish,Monday,Tuesday
2022-08-02,Bullish,Monday,Tuesday
2022-08-09,Bullish,Monday,Tuesday
2022-08-16,Bearish,Tuesday,Monday
2022-08-23,Bearish,Friday,Monday
2022-08-30,Bearish,Tuesday,Thursday
2022-09-06,Bullish,Monday,Tuesday
2022-09-13,Bearish,Tuesday,Friday
2022-09-20,Bearish,Wednesday,Monday
2022-09-27,Bearish,Wednesday,Friday
2022-10-04,Bearish,Wednesday,Monday
2022-10-11,Bullish,Friday,Thursday
2022-10-18,Bullish,Monday,Friday
2022-10-25,Bullish,Friday,Tuesday
2022-11-01,Bearish,Tuesday,Thursday
2022-11-08,Bullish,Monday,Wednesday
2022-11-15,Bearish,Tuesday,Thursday
2022-11-22,Bearish,Friday,Monday
2022-11-29,Bullish,Thursday,Tuesday
2022-12-06,Bearish,Tuesday,Tuesday
2022-12-13,Bearish,Tuesday,Monday
2022-12-20,Bullish,Wednesday,Thursday
2022-12-27,Bearish,Thursday,Wednesday
2023-01-03,Bullish,Monday,Tuesday
2023-01-10,Bullish,Friday,Tuesday
